SITE_ID,SITE_NAME,URL,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,Latitude,Longitude,Elevation,IGBP,MAT,MAP
IT-La2,Lavarone2,http://sites.fluxdata.org/IT-La2/,"Tier1,",Tier1: 2000,Tier1: 2002,45.9542,11.2853,1350,ENF,7.2,1150
,,,Tier2,Tier2: 2000,Tier2: 2002,,,,,,
IT-Lav,Lavarone,http://sites.fluxdata.org/IT-Lav/,"Tier1,",Tier1: 2003,Tier1: 2014,45.9562,11.2813,1353,ENF,7.8,1291
,,,Tier2,Tier2: 2003,Tier2: 2014,,,,,,
IT-MBo,Monte Bondone,http://sites.fluxdata.org/IT-MBo/,"Tier1,",Tier1: 2003,Tier1: 2013,46.0147,11.0458,1550,GRA,5.1,1214
,,,Tier2,Tier2: 2003,Tier2: 2013,,,,,,
IT-Noe,Arca di Noé - Le Prigionette,http://sites.fluxdata.org/IT-Noe/,"Tier1,",Tier1: 2004,Tier1: 2014,40.6061,8.1515,28,CSH,15.9,588
,,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
IT-PT1,Parco Ticino forest,http://sites.fluxdata.org/IT-PT1/,"Tier1,",Tier1: 2002,Tier1: 2004,45.2009,9.061,60,DBF,12.7,984
,,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
IT-Ren,Renon,http://sites.fluxdata.org/IT-Ren/,"Tier1,",Tier1: 1998,Tier1: 2013,46.5869,11.4337,1730,ENF,4.7,809
,,,Tier2,Tier2: 1998,Tier2: 2013,,,,,,
IT-Ro1,Roccarespampani 1,http://sites.fluxdata.org/IT-Ro1/,"Tier1,",Tier1: 2000,Tier1: 2008,42.4081,11.93,235,DBF,15.15,876
